amfi_code,cagr_3y,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,score,score_100,overall_rank
119552,0.16267372294624916,0.953279496866011,0.1986859936686296,-0.11803493502764295,0.66,23.0,12.0,15.0,4.0,11.0,14.599999999999998,41.38908575478383,27.0
119598,0.2666992200118774,0.9453082575156093,0.3033696538698332,-0.2870600572176455,1.43,12.0,14.0,1.0,21.0,36.0,14.049999999999999,39.829907866761154,31.0
119599,-0.01337386614488112,-0.05718662582817995,0.048824215945539845,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,31.424999999999997,89.08575478384122,6.0
120503,0.13978381933703043,0.7979728586052844,0.17703302365844073,-0.13897862823061635,1.42,25.0,17.0,17.0,20.0,14.0,19.549999999999997,55.42168674698793,22.0
120504,0.3248742855621496,1.0265242847993006,0.2119482701352573,-0.12588275606922517,0.8,3.0,10.0,13.0,12.0,12.0,9.0,25.513819985825652,36.0
120505,0.317775371512347,1.1801011976606495,0.2926358334175106,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,8.1,22.962437987243085,39.0
120506,0.1842199653744454,0.6488787755249528,0.1625385327998104,-0.1982565826298267,1.41,20.0,20.0,20.0,19.0,27.0,20.55,58.25655563430191,20.0
120507,0.07394286300360076,0.495723392953312,0.06746210411099539,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,21.8,61.80014174344436,19.0
120841,0.1726727508371786,0.4942725378672348,0.13042924450705445,-0.1757361416468729,1.59,22.0,24.0,25.0,35.0,24.0,25.25,71.58043940467752,13.0
120842,0.07756003551327284,0.07599984804658923,0.0780443887615508,-0.24003511326274884,1.56,28.0,30.0,29.0,33.0,33.0,29.950000000000003,84.90432317505315,7.0
120843,0.2958277033726251,1.3067439695428413,0.27330465038306057,-0.1297396816518679,1.45,7.0,2.0,5.0,22.0,13.0,8.200000000000001,23.245924875974485,38.0
120844,0.06695971624586994,-0.08874729621557288,0.06455677495375998,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,24.549999999999997,69.59603118355774,14.0
125497,0.18434488610520172,0.7757902498211205,0.17729754927531766,-0.15200013055606398,0.92,19.0,18.0,16.0,14.0,18.0,17.299999999999997,49.043231750531525,26.0
125498,0.11245222866621418,0.3006119210425479,0.11989100971217971,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,24.15,68.46208362863216,15.0
148567,0.3400091602163293,1.4482911703262604,0.2698375144191807,-0.11265729075028275,1.46,2.0,1.0,7.0,23.0,8.0,6.499999999999999,18.426647767540747,40.0
148568,0.14748035533586012,0.9262873467360141,0.20873010086942337,-0.1527259422823477,1.52,24.0,15.0,14.0,26.5,19.0,19.625,55.63430191353649,21.0
148569,0.2917890157839378,1.2349300257743292,0.2827036785246582,-0.1639674294693263,1.6,8.0,3.0,4.0,36.5,21.0,11.525,32.671863926293405,33.0
149322,0.18044206486636138,0.46403744922047735,0.13173190226099432,-0.14844576917771746,1.54,21.0,25.0,24.0,30.5,16.0,23.525000000000002,66.69029057406094,16.0
149323,0.268699908289022,1.1321218524747252,0.26598577542043045,-0.17248105753451382,1.61,11.0,6.0,8.0,38.0,22.0,14.3,40.53862508858965,30.0
149324,0.27000426614519246,0.949795824661604,0.3005787817097677,-0.31171900300634214,1.52,10.0,13.0,2.0,26.5,37.0,14.325,40.60949681077249,29.0
